ppm,797.5K,798K,798.5K,799K,799.5K,800K,800.5K,801K,801.5K,802K,802.5K
,,,,,,,,,,,
-0.15015015,0.002578437,0.0026332,0.002633,0.002632421,0.002632031,0.002631641,0.002631252,0.002630863,0.002630474,0.002630085,0.002629696
0,0.002589508,0.002644509,0.002644308,0.002643726,0.002643335,0.002642944,0.002642553,0.002642163,0.002641772,0.002641382,0.002640992
0.15015015,0.002600546,0.002655793,0.002655592,0.002655008,0.002654616,0.002654224,0.002653832,0.00265344,0.002653048,0.002652656,0.002652265
0.3003003,0.002611551,0.002667054,0.002666852,0.002666266,0.002665873,0.00266548,0.002665087,0.002664694,0.002664301,0.002663908,0.002663516
0.45045045,0.002622523,0.002678291,0.002678089,0.002677501,0.002677107,0.002676713,0.002676319,0.002675925,0.002675531,0.002675137,0.002674744
0.600600601,0.002633463,0.002689504,0.002689303,0.002688713,0.002688318,0.002687923,0.002687528,0.002687134,0.002686739,0.002686345,0.00268595
0.750750751,0.002644372,0.002700696,0.002700495,0.002699904,0.002699508,0.002699112,0.002698717,0.002698321,0.002697926,0.002697531,0.002697136
0.900900901,0.002655252,0.002711867,0.002711667,0.002711074,0.002710678,0.002710281,0.002709885,0.002709489,0.002709094,0.002708698,0.002708303
1.051051051,0.002666105,0.00272302,0.00272282,0.002722226,0.002721829,0.002721432,0.002721036,0.00272064,0.002720244,0.002719848,0.002719452
1.201201201,0.002676933,0.002734156,0.002733957,0.002733361,0.002732964,0.002732567,0.002732171,0.002731774,0.002731378,0.002730982,0.002730585
1.351351351,0.002687739,0.002745278,0.002745079,0.002744483,0.002744086,0.002743689,0.002743292,0.002742895,0.002742499,0.002742102,0.002741706
1.501501502,0.002698525,0.002756388,0.002756191,0.002755594,0.002755197,0.0027548,0.002754403,0.002754006,0.002753609,0.002753213,0.002752817
1.651651652,0.002709296,0.002767491,0.002767295,0.002766696,0.002766299,0.002765902,0.002765506,0.002765109,0.002764713,0.002764316,0.00276392
1.801801802,0.002720055,0.002778589,0.002778394,0.002777794,0.002777398,0.002777001,0.002776604,0.002776208,0.002775812,0.002775416,0.00277502
1.951951952,0.002730806,0.002789685,0.002789492,0.002788892,0.002788495,0.002788099,0.002787702,0.002787306,0.002786911,0.002786515,0.002786119
2.102102102,0.002741553,0.002800784,0.002800592,0.002799991,0.002799595,0.002799199,0.002798804,0.002798408,0.002798012,0.002797617,0.002797222
2.252252252,0.002752301,0.00281189,0.0028117,0.002811098,0.002810703,0.002810307,0.002809912,0.002809517,0.002809122,0.002808727,0.002808332
2.402402402,0.002763053,0.002823006,0.002822818,0.002822216,0.002821821,0.002821426,0.002821031,0.002820637,0.002820242,0.002819848,0.002819454
2.552552553,0.002773816,0.002834138,0.002833952,0.002833349,0.002832954,0.00283256,0.002832166,0.002831772,0.002831378,0.002830985,0.002830591
2.702702703,0.002784594,0.002845289,0.002845105,0.002844502,0.002844108,0.002843714,0.002843321,0.002842928,0.002842535,0.002842141,0.002841749
2.852852853,0.002795391,0.002856465,0.002856283,0.002855678,0.002855286,0.002854893,0.0028545,0.002854108,0.002853715,0.002853323,0.002852931
3.003003003,0.002806213,0.002867669,0.002867489,0.002866884,0.002866492,0.0028661,0.002865708,0.002865317,0.002864925,0.002864533,0.002864142
3.153153153,0.002817064,0.002878907,0.002878729,0.002878124,0.002877732,0.002877341,0.00287695,0.002876559,0.002876168,0.002875778,0.002875387
3.303303303,0.002827951,0.002890182,0.002890006,0.002889401,0.002889011,0.00288862,0.00288823,0.00288784,0.00288745,0.00288706,0.00288667
3.453453453,0.002838877,0.0029015,0.002901327,0.002900721,0.002900331,0.002899942,0.002899553,0.002899163,0.002898774,0.002898385,0.002897996
3.603603604,0.002849847,0.002912866,0.002912695,0.002912088,0.0029117,0.002911311,0.002910923,0.002910534,0.002910146,0.002909758,0.00290937
3.753753754,0.002860868,0.002924284,0.002924115,0.002923508,0.00292312,0.002922732,0.002922345,0.002921957,0.00292157,0.002921183,0.002920795
3.903903904,0.002871942,0.002935758,0.002935591,0.002934983,0.002934597,0.00293421,0.002933823,0.002933436,0.00293305,0.002932664,0.002932277
4.054054054,0.002883076,0.002947292,0.002947128,0.00294652,0.002946134,0.002945748,0.002945362,0.002944976,0.002944591,0.002944205,0.00294382
4.204204204,0.002894274,0.002958892,0.00295873,0.002958122,0.002957737,0.002957352,0.002956967,0.002956582,0.002956197,0.002955812,0.002955428
4.354354354,0.00290554,0.002970562,0.002970402,0.002969793,0.002969409,0.002969024,0.00296864,0.002968256,0.002967872,0.002967488,0.002967105
4.504504505,0.002916878,0.002982305,0.002982147,0.002981538,0.002981154,0.002980771,0.002980387,0.002980004,0.002979621,0.002979238,0.002978855
4.654654655,0.002928293,0.002994126,0.00299397,0.00299336,0.002992977,0.002992595,0.002992212,0.00299183,0.002991447,0.002991065,0.002990683
4.804804805,0.002939789,0.003006028,0.003005875,0.003005264,0.003004882,0.0030045,0.003004118,0.003003737,0.003003355,0.003002973,0.003002592
4.954954955,0.00295137,0.003018016,0.003017865,0.003017253,0.003016872,0.003016491,0.00301611,0.003015729,0.003015348,0.003014967,0.003014586
5.105105105,0.00296304,0.003030093,0.003029943,0.003029331,0.003028951,0.00302857,0.00302819,0.003027809,0.003027429,0.003027049,0.003026669
5.255255255,0.002974802,0.003042262,0.003042115,0.003041502,0.003041122,0.003040742,0.003040362,0.003039983,0.003039603,0.003039223,0.003038844
5.405405405,0.00298666,0.003054528,0.003054382,0.003053769,0.003053389,0.00305301,0.003052631,0.003052252,0.003051872,0.003051493,0.003051115
5.555555556,0.002998617,0.003066893,0.003066749,0.003066135,0.003065756,0.003065377,0.003064998,0.00306462,0.003064241,0.003063862,0.003063484
5.705705706,0.003010676,0.00307936,0.003079218,0.003078603,0.003078224,0.003077846,0.003077468,0.00307709,0.003076711,0.003076333,0.003075955
5.855855856,0.003022841,0.003091933,0.003091793,0.003091176,0.003090798,0.00309042,0.003090043,0.003089665,0.003089287,0.003088909,0.003088532
6.006006006,0.003035114,0.003104614,0.003104475,0.003103858,0.00310348,0.003103103,0.003102725,0.003102348,0.003101971,0.003101593,0.003101216
6.156156156,0.003047498,0.003117406,0.003117269,0.003116651,0.003116273,0.003115896,0.003115519,0.003115142,0.003114765,0.003114388,0.003114011
6.306306306,0.003059996,0.003130312,0.003130177,0.003129557,0.00312918,0.003128803,0.003128426,0.003128049,0.003127673,0.003127296,0.003126919
6.456456456,0.00307261,0.003143334,0.003143201,0.00314258,0.003142203,0.003141826,0.00314145,0.003141073,0.003140696,0.00314032,0.003139943
6.606606607,0.003085343,0.003156475,0.003156343,0.003155721,0.003155344,0.003154968,0.003154591,0.003154215,0.003153838,0.003153462,0.003153086
6.756756757,0.003098196,0.003169737,0.003169607,0.003168983,0.003168607,0.00316823,0.003167854,0.003167477,0.003167101,0.003166725,0.003166349
6.906906907,0.003111173,0.003183122,0.003182994,0.003182369,0.003181992,0.003181616,0.003181239,0.003180863,0.003180487,0.00318011,0.003179734
7.057057057,0.003124276,0.003196633,0.003196506,0.00319588,0.003195503,0.003195127,0.00319475,0.003194374,0.003193998,0.003193621,0.003193245
7.207207207,0.003137505,0.003210272,0.003210146,0.003209518,0.003209142,0.003208765,0.003208388,0.003208012,0.003207635,0.003207259,0.003206883
7.357357357,0.003150864,0.00322404,0.003223915,0.003223286,0.003222909,0.003222532,0.003222156,0.003221779,0.003221402,0.003221026,0.00322065
7.507507508,0.003164353,0.003237939,0.003237816,0.003237185,0.003236808,0.003236431,0.003236054,0.003235677,0.003235301,0.003234924,0.003234547
7.657657658,0.003177976,0.003251972,0.00325185,0.003251217,0.00325084,0.003250463,0.003250086,0.003249709,0.003249332,0.003248955,0.003248578
7.807807808,0.003191733,0.00326614,0.003266018,0.003265384,0.003265007,0.003264629,0.003264252,0.003263874,0.003263497,0.00326312,0.003262743
7.957957958,0.003205626,0.003280444,0.003280324,0.003279688,0.00327931,0.003278932,0.003278554,0.003278177,0.003277799,0.003277421,0.003277044
8.108108108,0.003219656,0.003294887,0.003294767,0.00329413,0.003293752,0.003293373,0.003292995,0.003292617,0.003292239,0.003291861,0.003291483
8.258258258,0.003233826,0.003309469,0.003309351,0.003308712,0.003308333,0.003307954,0.003307576,0.003307197,0.003306818,0.00330644,0.003306062
8.408408408,0.003248136,0.003324193,0.003324076,0.003323435,0.003323056,0.003322676,0.003322297,0.003321918,0.003321539,0.00332116,0.003320781
8.558558559,0.003262589,0.003339061,0.003338944,0.003338301,0.003337921,0.003337541,0.003337162,0.003336782,0.003336402,0.003336023,0.003335644
8.708708709,0.003277185,0.003354072,0.003353957,0.003353311,0.003352931,0.003352551,0.00335217,0.00335179,0.00335141,0.00335103,0.00335065
8.858858859,0.003291925,0.00336923,0.003369115,0.003368468,0.003368087,0.003367706,0.003367325,0.003366944,0.003366563,0.003366182,0.003365802
9.009009009,0.003306812,0.003384535,0.003384421,0.003383771,0.003383389,0.003383008,0.003382626,0.003382245,0.003381863,0.003381482,0.0033811
9.159159159,0.003321846,0.003399988,0.003399875,0.003399223,0.003398841,0.003398458,0.003398076,0.003397694,0.003397312,0.00339693,0.003396547
9.309309309,0.003337029,0.003415592,0.00341548,0.003414826,0.003414442,0.003414059,0.003413676,0.003413293,0.00341291,0.003412527,0.003412144
9.459459459,0.003352361,0.003431347,0.003431235,0.003430579,0.003430195,0.003429811,0.003429427,0.003429043,0.003428659,0.003428276,0.003427892
9.60960961,0.003367845,0.003447255,0.003447144,0.003446485,0.0034461,0.003445716,0.003445331,0.003444946,0.003444561,0.003444177,0.003443792
9.75975976,0.003383481,0.003463317,0.003463207,0.003462546,0.00346216,0.003461774,0.003461388,0.003461003,0.003460617,0.003460232,0.003459846
9.90990991,0.003399271,0.003479535,0.003479425,0.003478761,0.003478374,0.003477988,0.003477601,0.003477215,0.003476828,0.003476442,0.003476055
10.06006006,0.003415216,0.003495909,0.003495799,0.003495134,0.003494746,0.003494358,0.003493971,0.003493583,0.003493196,0.003492808,0.003492421
10.21021021,0.003431316,0.003512441,0.003512332,0.003511664,0.003511275,0.003510886,0.003510498,0.003510109,0.003509721,0.003509332,0.003508944
10.36036036,0.003447575,0.003529133,0.003529024,0.003528353,0.003527964,0.003527574,0.003527184,0.003526795,0.003526405,0.003526016,0.003525626
10.51051051,0.003463991,0.003545985,0.003545877,0.003545204,0.003544813,0.003544422,0.003544031,0.003543641,0.00354325,0.003542859,0.003542469
10.66066066,0.003480568,0.003563,0.003562892,0.003562216,0.003561824,0.003561432,0.00356104,0.003560648,0.003560257,0.003559865,0.003559473
10.81081081,0.003497305,0.003580178,0.00358007,0.003579391,0.003578998,0.003578605,0.003578212,0.003577819,0.003577426,0.003577033,0.003576641
10.96096096,0.003514205,0.00359752,0.003597413,0.003596731,0.003596337,0.003595943,0.003595548,0.003595154,0.00359476,0.003594366,0.003593973
11.11111111,0.003531269,0.003615028,0.003614921,0.003614237,0.003613842,0.003613446,0.003613051,0.003612656,0.00361226,0.003611865,0.00361147
11.26126126,0.003548497,0.003632704,0.003632597,0.003631911,0.003631514,0.003631117,0.00363072,0.003630324,0.003629927,0.003629531,0.003629135
11.41141141,0.003565891,0.003650549,0.003650442,0.003649753,0.003649355,0.003648957,0.003648559,0.003648161,0.003647763,0.003647366,0.003646968
11.56156156,0.003583453,0.003668564,0.003668457,0.003667765,0.003667365,0.003666966,0.003666567,0.003666168,0.003665769,0.00366537,0.003664971
11.71171171,0.003601184,0.00368675,0.003686644,0.003685948,0.003685548,0.003685147,0.003684747,0.003684346,0.003683946,0.003683546,0.003683145
11.86186186,0.003619085,0.003705109,0.003705004,0.003704305,0.003703903,0.003703501,0.003703099,0.003702698,0.003702296,0.003701894,0.003701493
12.01201201,0.003637157,0.003723643,0.003723538,0.003722836,0.003722433,0.00372203,0.003721626,0.003721223,0.00372082,0.003720417,0.003720014
12.16216216,0.003655403,0.003742353,0.003742248,0.003741543,0.003741139,0.003740734,0.003740329,0.003739925,0.00373952,0.003739116,0.003738711
12.31231231,0.003673823,0.00376124,0.003761135,0.003760428,0.003760021,0.003759615,0.003759209,0.003758803,0.003758397,0.003757991,0.003757586
12.46246246,0.003692419,0.003780307,0.003780202,0.003779491,0.003779083,0.003778676,0.003778268,0.003777861,0.003777453,0.003777046,0.003776639
12.61261261,0.003711192,0.003799553,0.003799449,0.003798735,0.003798326,0.003797917,0.003797508,0.003797099,0.00379669,0.003796281,0.003795872
12.76276276,0.003730144,0.003818982,0.003818878,0.003818161,0.00381775,0.00381734,0.003816929,0.003816519,0.003816108,0.003815698,0.003815288
12.91291291,0.003749276,0.003838595,0.00383849,0.00383777,0.003837358,0.003836946,0.003836534,0.003836122,0.00383571,0.003835298,0.003834886
