ppm,600K,640K,680K,720K,760K,800K,840K,880K,920K,960K,1000K,,
,0.00022,0.000674,0.0016,0.003,0.0044,0.005,0.0044,0.003,0.0016,0.000674,0.00022,,
-0.15015015,0.002800841,0.00276467,0.002729836,0.002696138,0.002663334,0.002631641,0.002600997,0.002571345,0.002542511,0.002514416,0.002487185,,0.00263357
0,0.002812743,0.002776444,0.002741488,0.00270767,0.00267475,0.002642944,0.00261219,0.002582431,0.002553493,0.002525297,0.002497967,,0.002644879
0.15015015,0.002824526,0.002788127,0.00275307,0.002719151,0.002686129,0.002654224,0.002623371,0.002593515,0.00256448,0.002536189,0.002508766,,0.002656161
0.3003003,0.002836192,0.002799718,0.002764583,0.002730581,0.002697473,0.00266548,0.002634539,0.002604594,0.002575472,0.002547092,0.002519582,,0.002667415
0.45045045,0.00284774,0.002811219,0.002776026,0.00274196,0.002708781,0.002676713,0.002645694,0.002615671,0.002586468,0.002558006,0.002530414,,0.002678642
0.600600601,0.002859173,0.00282263,0.002787401,0.002753288,0.002720053,0.002687923,0.002656838,0.002626745,0.00259747,0.002568933,0.002541265,,0.002689844
0.750750751,0.002870493,0.002833954,0.00279871,0.002764568,0.002731292,0.002699112,0.002667972,0.002637818,0.002608477,0.002579872,0.002552134,,0.00270102
0.900900901,0.002881704,0.002845193,0.002809956,0.002775801,0.002742498,0.002710281,0.002679095,0.00264889,0.002619492,0.002590825,0.002563023,,0.002712172
1.051051051,0.002892813,0.002856353,0.002821141,0.002786991,0.002753675,0.002721432,0.002690211,0.002659962,0.002630515,0.002601793,0.002573932,,0.002723303
1.201201201,0.002903823,0.002867437,0.002832269,0.002798139,0.002764824,0.002732567,0.00270132,0.002671037,0.002641547,0.002612776,0.002584861,,0.002734415
1.351351351,0.002914743,0.002878451,0.002843344,0.00280925,0.002775948,0.002743689,0.002712426,0.002682116,0.00265259,0.002623776,0.002595814,,0.00274551
1.501501502,0.002925579,0.002889401,0.002854373,0.002820327,0.002787051,0.0027548,0.002723529,0.0026932,0.002663646,0.002634796,0.00260679,,0.002756592
1.651651652,0.002936341,0.002900294,0.002865359,0.002831376,0.002798137,0.002765902,0.002734634,0.002704294,0.002674717,0.002645835,0.002617792,,0.002767663
1.801801802,0.002947037,0.002911137,0.002876308,0.0028424,0.002809209,0.002777001,0.002745742,0.002715397,0.002685805,0.002656897,0.00262882,,0.002778728
1.951951952,0.002957676,0.002921937,0.002887228,0.002853406,0.002820271,0.002788099,0.002756857,0.002726515,0.002696912,0.002667983,0.002639878,,0.00278979
2.102102102,0.002968268,0.002932702,0.002898124,0.002864397,0.002831329,0.002799199,0.002767981,0.002737648,0.00270804,0.002679096,0.002650966,,0.002800853
2.252252252,0.002978823,0.002943441,0.002909004,0.002875381,0.002842387,0.002810307,0.002779119,0.0027488,0.002719193,0.002690237,0.002662086,,0.002811922
2.402402402,0.002989352,0.002954163,0.002919873,0.002886362,0.002853449,0.002821426,0.002790274,0.002759974,0.002730372,0.002701409,0.002673241,,0.002823001
2.552552553,0.002999864,0.002964874,0.00293074,0.002897348,0.002864521,0.00283256,0.00280145,0.002771174,0.002741581,0.002712614,0.002684434,,0.002834094
2.702702703,0.003010371,0.002975585,0.002941611,0.002908343,0.002875609,0.002843714,0.00281265,0.002782402,0.002752822,0.002723856,0.002695665,,0.002845207
2.852852853,0.003020881,0.002986304,0.002952495,0.002919354,0.002886716,0.002854893,0.002823878,0.002793662,0.002764099,0.002735135,0.002706937,,0.002856344
3.003003003,0.003031407,0.002997038,0.002963397,0.002930387,0.002897849,0.0028661,0.002835139,0.002804958,0.002775414,0.002746456,0.002718254,,0.002867509
3.153153153,0.003041956,0.003007798,0.002974325,0.002941449,0.002909013,0.002877341,0.002846435,0.002816292,0.00278677,0.002757821,0.002729616,,0.002878709
3.303303303,0.003052539,0.003018591,0.002985287,0.002952545,0.002920213,0.00288862,0.002857772,0.002827669,0.002798171,0.002769233,0.002741027,,0.002889946
3.453453453,0.003063166,0.003029425,0.002996289,0.002963681,0.002931454,0.002899942,0.002869154,0.002839092,0.00280962,0.002780694,0.00275249,,0.002901227
3.603603604,0.003073845,0.003040308,0.003007339,0.002974865,0.002942743,0.002911311,0.002880583,0.002850565,0.00282112,0.002792208,0.002764006,,0.002912557
3.753753754,0.003084585,0.003051247,0.003018442,0.0029861,0.002954083,0.002922732,0.002892065,0.002862091,0.002832674,0.002803776,0.002775579,,0.002923939
3.903903904,0.003095395,0.003062251,0.003029606,0.002997394,0.00296548,0.00293421,0.002903604,0.002873673,0.002844285,0.002815403,0.00278721,,0.002935378
4.054054054,0.003106281,0.003073325,0.003040836,0.003008752,0.002976938,0.002945748,0.002915202,0.002885316,0.002855957,0.002827091,0.002798903,,0.00294688
4.204204204,0.003117252,0.003084477,0.003052139,0.003020179,0.002988464,0.002957352,0.002926866,0.002897022,0.002867693,0.002838843,0.00281066,,0.002958448
4.354354354,0.003128314,0.003095713,0.003063521,0.00303168,0.003000061,0.002969024,0.002938597,0.002908796,0.002879495,0.002850661,0.002822484,,0.002970086
4.504504505,0.003139474,0.003107039,0.003074986,0.00304326,0.003011734,0.002980771,0.0029504,0.002920641,0.002891367,0.002862549,0.002834378,,0.0029818
4.654654655,0.003150738,0.00311846,0.00308654,0.003054925,0.003023487,0.002992595,0.002962278,0.002932559,0.002903313,0.002874509,0.002846343,,0.002993593
4.804804805,0.003162112,0.003129982,0.003098189,0.003066678,0.003035325,0.0030045,0.002974235,0.002944555,0.002915334,0.002886544,0.002858383,,0.003005468
4.954954955,0.003173601,0.003141611,0.003109936,0.003078524,0.003047252,0.003016491,0.002986275,0.002956631,0.002927435,0.002898658,0.0028705,,0.003017431
5.105105105,0.00318521,0.00315335,0.003121787,0.003090468,0.003059271,0.00302857,0.002998402,0.002968791,0.002939617,0.002910851,0.002882696,,0.003029484
5.255255255,0.003196943,0.003165204,0.003133745,0.003102513,0.003071387,0.003040742,0.003010617,0.002981038,0.002951884,0.002923129,0.002894975,,0.003041631
5.405405405,0.003208805,0.003177178,0.003145814,0.003114664,0.003083602,0.00305301,0.003022925,0.002993375,0.002964239,0.002935491,0.002907338,,0.003053875
5.555555556,0.003220799,0.003189274,0.003157999,0.003126923,0.003095921,0.003065377,0.003035328,0.003005804,0.002976684,0.002947943,0.002919788,,0.00306622
5.705705706,0.003232929,0.003201497,0.003170303,0.003139294,0.003108347,0.003077846,0.00304783,0.003018329,0.002989222,0.002960485,0.002932327,,0.003078669
