ppm,700K,720K,740K,760K,780K,800K,820K,840K,860K,880K,900K,,
,0.00044,0.00135,0.0032,0.006,0.0088,0.01,0.0088,0.006,0.0032,0.00135,0.00044,,
,,,,,,,,,,,,,
-0.15015015,0.002712892,0.002696138,0.002679592,0.002663334,0.002647353,0.002631641,0.002616192,0.002600997,0.00258605,0.002571345,0.002556875,,0.002632139
0,0.002724484,0.00270767,0.002691066,0.00267475,0.002658712,0.002642944,0.002627439,0.00261219,0.00259719,0.002582431,0.002567909,,0.002643443
0.15015015,0.002736015,0.002719151,0.002702497,0.002686129,0.002670041,0.002654224,0.002638669,0.002623371,0.002608321,0.002593515,0.002578944,,0.002654723
0.3003003,0.002747487,0.002730581,0.002713883,0.002697473,0.002681341,0.00266548,0.002649881,0.002634539,0.002619445,0.002604594,0.00258998,,0.002665979
0.45045045,0.002758899,0.00274196,0.002725227,0.002708781,0.002692612,0.002676713,0.002661076,0.002645694,0.002630562,0.002615671,0.002601017,,0.002677211
0.600600601,0.002770253,0.002753288,0.002736529,0.002720053,0.002703854,0.002687923,0.002672254,0.002656838,0.002641671,0.002626745,0.002612055,,0.002688419
0.750750751,0.002781549,0.002764568,0.002747789,0.002731292,0.002715069,0.002699112,0.002683415,0.002667972,0.002652774,0.002637818,0.002623096,,0.002699605
0.900900901,0.00279279,0.002775801,0.00275901,0.002742498,0.002726258,0.002710281,0.002694563,0.002679095,0.002663873,0.00264889,0.00263414,,0.002710771
1.051051051,0.00280398,0.002786991,0.002770195,0.002753675,0.002737423,0.002721432,0.002705697,0.002690211,0.002674968,0.002659962,0.002645189,,0.002721917
1.201201201,0.002815121,0.002798139,0.002781346,0.002764824,0.002748566,0.002732567,0.002716821,0.00270132,0.002686061,0.002671037,0.002656243,,0.002733046
1.351351351,0.002826217,0.00280925,0.002792466,0.002775948,0.002759691,0.002743689,0.002727936,0.002712426,0.002697154,0.002682116,0.002667305,,0.002744161
1.501501502,0.002837273,0.002820327,0.002803558,0.002787051,0.0027708,0.0027548,0.002739044,0.002723529,0.00270825,0.0026932,0.002678377,,0.002755265
1.651651652,0.002848294,0.002831376,0.002814628,0.002798137,0.002781897,0.002765902,0.00275015,0.002734634,0.00271935,0.002704294,0.002689461,,0.00276636
1.801801802,0.002859285,0.0028424,0.002825679,0.002809209,0.002792984,0.002777001,0.002761255,0.002745742,0.002730457,0.002715397,0.002700558,,0.002777451
1.951951952,0.002870252,0.002853406,0.002836716,0.002820271,0.002804067,0.002788099,0.002772363,0.002756857,0.002741575,0.002726515,0.002711672,,0.00278854
2.102102102,0.0028812,0.002864397,0.002847744,0.002831329,0.002815149,0.002799199,0.002783478,0.002767981,0.002752706,0.002737648,0.002722804,,0.002799632
2.252252252,0.002892136,0.002875381,0.002858768,0.002842387,0.002826234,0.002810307,0.002794603,0.002779119,0.002763853,0.0027488,0.002733958,,0.00281073
2.402402402,0.002903065,0.002886362,0.002869793,0.002853449,0.002837327,0.002821426,0.002805742,0.002790274,0.002775019,0.002759974,0.002745137,,0.002821839
2.552552553,0.002913996,0.002897348,0.002880826,0.002864521,0.002848433,0.00283256,0.0028169,0.00280145,0.002786209,0.002771174,0.002756343,,0.002832963
2.702702703,0.002924933,0.002908343,0.00289187,0.002875609,0.002859557,0.002843714,0.002828079,0.00281265,0.002797425,0.002782402,0.00276758,,0.002844107
2.852852853,0.002935885,0.002919354,0.002902933,0.002886716,0.002870703,0.002854893,0.002839285,0.002823878,0.002808671,0.002793662,0.00277885,,0.002855276
